schlcode,c_size,grade,classid,classize,avgmath,avgverb,pct_disadvantaged
11109,119,5,1,24,64.129997,72.089996,5
11109,119,5,2,26,70.519997,82.519997,5
11109,119,5,3,32,67.089996,81.25,5
11109,119,5,4,26,63.310001,70.919998,5
11111,106,5,1,33,63.860001,74.790001,5
11111,106,5,2,30,56.220001,72.730003,5
11111,106,5,3,31,62.330002,76.900002,5
11115,57,5,1,30,58.439999,76.529999,11
11115,57,5,2,27,61.996799,73.087502,11
11117,66,5,1,28,62.59,67.459999,31
11117,66,5,2,27,57.630001,62.66,31
11119,83,5,1,29,48.07,75.68,21
11119,83,5,2,24,55.810001,69.43,21
11119,83,5,3,30,62.790001,81.959999,21
11120,106,5,2,35,54.389999,71.760002,2
11120,106,5,3,35,55.450001,69.160004,2
11120,106,5,1,36,58.299355,75.317238,2
11126,47,5,1,22,53.91,66.480003,16
11126,47,5,2,25,54.959999,66.43,16
11127,29,5,1,29,62.779999,78.029999,6
11128,79,5,1,22,81.43,79.089996,12
11128,79,5,2,31,74.389999,78.110001,12
11128,79,5,3,26,75.459999,80.080002,12
11132,106,5,1,35,61.150002,75.790001,9
11132,106,5,2,32,66.550003,76.099998,9
11132,106,5,3,31,56.209999,74.449997,9
11133,29,5,1,29,72,80,7
11134,60,5,1,28,69.739998,84.650002,2
11134,60,5,2,32,69.800003,82.93,2
11135,65,5,2,33,79.860001,80.5,4
11135,65,5,1,32,72.139999,79.482758,4
11144,80,5,1,27,56.119999,66.080002,10
11144,80,5,2,26,60.360001,69.959999,10
11144,80,5,3,27,61.959999,62.259998,10
11150,101,5,1,34,72.610001,73.970001,2
11150,101,5,2,33,66.099998,70.709999,2
11150,101,5,3,34,68.529999,71.309998,2
11151,42,5,2,22,48.950001,69.279999,42
11151,42,5,1,20,49.052776,52.720001,42
11152,68,5,1,34,73.059998,74.099998,5
11152,68,5,2,34,75.5,79.529999,5
11159,50,5,1,26,74.559998,80.779999,17
11159,50,5,2,24,58.830002,70.209999,17
11161,40,5,1,18,61.830002,77.290001,19
11161,40,5,2,22,62.145714,73.146187,19
11165,21,5,1,21,78.169998,77.669998,1
11168,24,5,1,24,58.48,73.260002,5
11170,67,5,1,43,74.25,85.190002,2
11170,67,5,2,24,77.519997,86.089996,2
11171,74,5,1,33,70.660004,77.480003,8
11171,74,5,2,41,63.490002,69.849998,8
11172,13,5,1,13,81.269997,86,7
11181,64,5,1,32,68.32,71.959999,8
11181,64,5,2,32,59.639999,72.790001,8
11182,46,5,1,23,69.349998,79.389999,9
11182,46,5,2,23,74.902382,82.763336,9
11183,79,5,1,39,64.059998,78.25,1
11183,79,5,2,40,68.209999,76.370003,1
11184,81,5,1,41,74.709999,78.889999,5
11184,81,5,2,40,77.889999,82.889999,5
11187,115,5,1,37,67.830002,74.889999,4
11187,115,5,2,39,73.690002,79.199997,4
11187,115,5,3,40,84.080002,81.269997,4
11188,60,5,2,25,47.330002,70.669998,12
11188,60,5,1,30,39.416553,56.652412,12
11189,32,5,1,32,81.220001,77.099998,11
11190,81,5,2,27,63.150002,69.959999,5
11190,81,5,3,27,67.879997,77.129997,5
11190,81,5,1,27,72.785927,72.1968,5
11196,28,5,1,28,73.220001,81.260002,0
11201,99,5,1,35,67.379997,78.239998,3
11201,99,5,2,30,72.290001,80.959999,3
11201,99,5,3,34,70.970001,77.720001,3
11203,23,5,1,23,66.760002,82.239998,0
11205,20,5,1,20,70,78,3
11207,75,5,1,25,61.610001,64.480003,10
11207,75,5,2,27,66.959999,68.190002,10
11207,75,5,3,23,70.080002,75.040001,10
11209,33,5,1,33,59.41,76.160004,0
11212,32,5,1,32,78.029999,82.589996,2
11213,101,5,2,36,75.139999,76.830002,7
11213,101,5,3,32,69.419998,75.290001,7
11213,101,5,1,33,70.998184,81.822121,7
11217,102,5,1,31,55.09,67.559998,5
11217,102,5,2,35,65.370003,71.169998,5
11217,102,5,3,36,64.309998,70.669998,5
11218,107,5,2,32,73.93,77.529999,6
11218,107,5,3,31,67.769997,66.57,6
11218,107,5,1,32,65.53125,71.900002,6
11219,22,5,1,22,80.25,79,3
11220,138,5,1,36,65.25,75.809998,4
11220,138,5,2,34,75.870003,79.230003,4
11220,138,5,3,34,72.68,84.57,4
11220,138,5,4,34,79.910004,83.059998,4
11221,94,5,1,38,71.370003,79.660004,11
11221,94,5,2,46,78.480003,78.300003,11
11222,75,5,1,26,67.709999,79.419998,3
11222,75,5,2,25,67.480003,75.830002,3
11222,75,5,3,24,65.57,70.230003,3
11225,70,5,1,25,74.269997,77.230003,2
11225,70,5,2,45,63.280464,81.417206,2
11227,114,5,1,33,66.709999,81.389999,0
11227,114,5,2,34,68.82,78.389999,0
11227,114,5,3,35,65.540855,77.458282,0
11228,39,5,1,39,68.029999,73.110001,19
11233,53,5,1,28,64.080002,76.400002,11
11233,53,5,2,25,60.900002,73.099998,11
11234,214,5,1,34,65.540001,74.110001,10
11234,214,5,3,34,72.790001,75,10
11234,214,5,4,34,65.470001,78.059998,10
11234,214,5,5,34,73.029999,76.900002,10
11235,39,5,1,39,63.130001,79.389999,8
11238,32,5,1,32,68.089996,75.699997,1
11239,71,5,1,36,61.630001,72.610001,3
11239,71,5,2,35,68.709999,79.650002,3
11247,64,5,1,29,55.959999,63.07,5
11247,64,5,2,35,57,68.540001,5
11248,154,5,1,38,72.459999,70.949997,5
11248,154,5,3,39,68.669998,74.760002,5
11248,154,5,4,38,60.23,71.139999,5
11248,154,5,2,39,66.259117,79.43618,5
11249,20,5,1,20,67.330002,82.720001,15
11250,125,5,1,38,68,75.290001,8
11250,125,5,2,36,67.879997,73.669998,8
11250,125,5,3,36,65.760002,72.379997,8
11251,10,5,1,10,75.220001,84.440002,8
11256,30,5,1,30,71.889999,77.559998,3
11257,21,5,1,21,62.240002,67.480003,5
11258,59,5,1,23,71.849998,77.800003,3
11258,59,5,2,25,72.150002,72.199997,3
11259,58,5,1,19,67.330002,78.040001,0
11259,58,5,2,21,61.790001,82.540001,0
11281,29,5,1,29,76.459999,85.379997,3
11295,22,5,1,15,56.41,72.209999,5
11307,30,5,1,30,75.269997,74.589996,5
11317,28,5,1,28,66.309998,73.879997,0
21005,22,5,1,22,69.389999,81,0
21006,63,5,1,31,65,81.720001,2
21006,63,5,2,32,62.169998,78.919998,2
21010,18,5,1,18,62.5,71.290001,43
21012,33,5,1,33,67,84,1
21013,24,5,1,24,87.199997,88.199997,0
21021,21,5,1,21,66.379997,76.25,0
21026,95,5,1,26,74.419998,75.120003,27
21026,95,5,2,25,69.540001,71.830002,27
21026,95,5,3,26,57.259998,68.589996,27
21026,95,5,4,9,66.5,74.669998,27
21028,42,5,1,27,62.41,65.599998,40
21029,42,5,1,22,60.869999,65.910004,44
21029,42,5,2,20,59.310001,71,44
21030,42,5,1,33,57.689999,64.720001,65
21031,52,5,2,26,63.849998,73.839996,36
21031,52,5,1,26,72.150002,76.115387,36
21032,51,5,1,24,55.73,70,13
21032,51,5,2,27,59.349998,68.25,13
21041,23,5,1,23,69,85,3
21042,37,5,1,26,51.099998,78.379997,0
21043,45,5,1,23,61.91,77.860001,1
21043,45,5,2,22,58.57,82.360001,1
21048,81,5,1,27,72,70.18,13
21048,81,5,2,26,62.200001,71.040001,13
21048,81,5,3,28,69.639999,75.919998,13
21050,54,5,1,26,67.559998,77.43,3
21050,54,5,2,28,72.040001,85.360001,3
21052,24,5,1,24,65.769997,84.230003,0
21057,51,5,2,25,71.949997,88.870003,2
21057,51,5,1,26,66.403999,83.359596,2
21064,52,5,1,25,56.5,70,1
21064,52,5,2,27,54.740002,69.080002,1
21065,14,5,1,14,71,86,0
21067,45,5,1,21,64.25,62.43,38
21067,45,5,2,24,58.73,61.830002,38
21068,59,5,2,30,56.700001,72.830002,33
21068,59,5,1,29,64.410347,69.548622,33
21069,114,5,1,34,58.689999,67.309998,16
21069,114,5,3,36,69.129997,71.839996,16
21069,114,5,2,33,68.197739,68.122581,16
21070,120,5,1,36,55,57.91,14
21070,120,5,2,35,69.599998,72.199997,14
21070,120,5,3,35,57.96875,64.162666,14
21073,95,5,1,31,76.419998,76.709999,16
21073,95,5,3,30,63.549999,66.07,16
21073,95,5,2,34,67.149391,73.063004,16
21074,42,5,1,21,37.799999,44.450001,52
21074,42,5,2,21,41.720001,46.240002,52
21077,25,5,1,25,46.27,57.59,48
21078,85,5,1,29,57.580002,62.330002,36
21078,85,5,2,29,55.360001,70.75,36
21078,85,5,3,27,59.830002,72.190002,36
21079,31,5,1,31,48,57,60
21080,24,5,1,24,59.459999,69.459999,14
21081,24,5,1,24,51.330002,65,49
21088,35,5,1,35,70.970001,78.07,7
21089,65,5,1,33,68.940002,70.830002,14
21089,65,5,2,32,80.470001,75.529999,14
21090,29,5,1,21,69,78,42
21091,22,5,1,22,60.610001,79.669998,0
21093,41,5,1,20,71.559998,80.529999,0
21093,41,5,2,21,67.599998,84.57,0
21094,80,5,1,41,58.380001,75.050003,3
21094,80,5,2,39,61.66,76.419998,3
21095,22,5,1,22,69.18,77.949997,2
21096,60,5,1,23,68.910004,82.610001,3
21096,60,5,2,24,76.129997,83.040001,3
21097,53,5,1,27,62.290001,80.139999,0
21097,53,5,2,26,59.452,79.846001,0
21102,65,5,1,33,72.970001,84.910004,8
21102,65,5,2,32,77.199997,85.529999,8
21105,18,5,1,18,69.290001,81.589996,0
21111,33,5,1,22,65.900002,65.75,49
21112,94,5,1,30,54.459999,73.080002,7
21112,94,5,2,31,55.610001,68.959999,7
21112,94,5,3,33,48.887409,74.112595,7
21114,20,5,1,20,70.120003,78.589996,1
21116,15,5,1,15,69.870003,84.529999,25
21117,72,5,2,29,74.830002,68.540001,21
21117,72,5,1,30,81.169998,71.514076,21
21118,88,5,1,37,70.790001,78.389999,24
21118,88,5,2,37,65.860001,76.199997,24
21119,30,5,1,20,47,72,63
21123,17,5,1,17,77.709999,77.809998,0
21126,20,5,1,20,76.209999,79.739998,3
21127,46,5,2,21,52.290001,59.880001,43
21127,46,5,1,25,68.403503,74.902,43
21130,23,5,1,23,53.919998,65.830002,22
21132,66,5,1,28,75.040001,85.400002,0
21132,66,5,2,28,72.869568,80.391304,0
21134,23,5,1,23,73.370003,80.629997,10
21137,87,5,1,29,60.619999,74.449997,18
21137,87,5,3,30,60.709999,71.290001,18
21137,87,5,2,28,61.830002,77.113335,18
21138,25,5,1,25,58.18,75.730003,48
21141,16,5,1,16,73.809998,80.879997,0
21144,51,5,1,25,82.300003,83.57,1
21144,51,5,2,26,77.629997,83.879997,1
21145,82,5,2,27,85.269997,86.419998,3
21145,82,5,3,29,78.860001,85,3
21145,82,5,1,26,76.001541,83.580002,3
21146,48,5,1,24,68,66.849998,17
21146,48,5,2,24,63.700001,75,17
21147,124,5,1,39,71.410004,77.160004,3
21147,124,5,2,38,68.559998,78.330002,3
21147,124,5,3,37,73.419998,72.470001,3
21148,42,5,2,22,48.700001,64.150002,38
21148,42,5,1,20,47.263157,63.842106,38
21149,92,5,1,31,54.349998,66.830002,20
21149,92,5,2,30,55.66,62.540001,20
21149,92,5,3,31,62.639999,74.519997,20
21151,120,5,1,40,70.440002,79.529999,4
21151,120,5,2,40,68.919998,76.769997,4
21151,120,5,3,40,72.75,81.610001,4
21153,24,5,1,24,62,74,30
21160,41,5,1,27,62.169998,73.110001,24
21160,41,5,2,27,43.259998,60.669998,24
21162,52,5,1,40,60.130001,64,22
21163,26,5,1,26,53.790001,69.040001,20
21166,23,5,1,23,67.610001,85.650002,2
21168,43,5,1,21,73.330002,84.559998,0
21168,43,5,2,22,72.71714,81.440002,0
21171,23,5,1,23,78.529999,88.209999,0
21173,34,5,1,34,63.970001,79.790001,4
21175,42,5,2,22,64.5,76.779999,0
21175,42,5,1,20,59.857143,79.098,0
21176,12,5,1,12,63.91,68.800003,3
21178,48,5,1,27,57.709999,73.169998,21
21178,48,5,2,21,64.158401,57.170418,21
21179,113,5,1,34,65.870003,72.029999,23
21179,113,5,2,32,58.75,58.110001,23
21179,113,5,3,32,64.43,71.690002,23
21181,83,5,1,37,69.309998,84.32,15
21181,83,5,2,34,64.610001,76.540001,15
21182,54,5,2,25,55.619999,61.630001,5
21182,54,5,1,29,52.761177,66.106667,5
21184,46,5,1,23,71.68,75.860001,33
21184,46,5,2,23,77.209999,76.889999,33
21185,38,5,2,19,57.110001,73.889999,35
21185,38,5,1,19,60.889999,70.110001,35
21190,72,5,1,32,56.580002,57.41,30
21190,72,5,2,32,65.660004,67.650002,30
21191,128,5,1,40,71.860001,75.239998,11
21191,128,5,2,40,72.029999,75.139999,11
21191,128,5,3,39,69.449997,72.800003,11
21192,81,5,1,36,58,64.470001,20
21192,81,5,2,36,51.110001,55.919998,20
21194,86,5,1,29,57.330002,58.700001,28
21194,86,5,2,29,61.060001,66.970001,28
21194,86,5,3,28,81.246002,87.606003,28
21195,48,5,1,21,55.040001,64.830002,71
21195,48,5,2,27,41.959999,58.709999,71
21196,41,5,1,20,44.799999,62.68,76
21196,41,5,2,21,39.052631,55.32,76
21200,24,5,1,24,81.5,82.669998,5
21201,27,5,1,14,60.080002,62.540001,49
21201,27,5,2,13,47.5,54.669998,49
21203,56,5,1,27,69.470001,77.889999,8
21203,56,5,2,29,65.849998,74.739998,8
21204,27,5,1,27,65.110001,74.889999,41
21205,75,5,1,36,68.669998,72.129997,21
21205,75,5,2,39,63.919998,74.970001,21
21206,35,5,1,35,62.790001,72.209999,32
21208,60,5,1,27,60.299999,64.669998,40
21208,60,5,2,33,64.589996,72.25,40
21209,75,5,1,38,62.380001,67.739998,41
21209,75,5,2,37,74.830002,76.75,41
21210,66,5,1,33,69.379997,71.620003,46
21210,66,5,2,33,67.870003,65.830002,46
21211,22,5,1,22,66.43,58.200001,56
21212,56,5,1,28,66.400002,74.599998,44
21212,56,5,2,28,67.93,65.360001,44
21213,22,5,1,22,72.330002,80.900002,0
21214,34,5,1,34,71,80,4
21215,41,5,1,21,70.669998,82.050003,3
21215,41,5,2,20,72,85,3
21221,52,5,1,25,67.330002,73.470001,6
21221,52,5,2,27,75.169998,78.580002,6
21227,109,5,2,32,60.52,81.290001,4
21227,109,5,3,31,49.580002,71.650002,4
21227,109,5,1,31,59.992859,80.33741,4
21229,12,5,1,12,50.169998,77.269997,5
21235,25,5,1,25,44,63,35
21236,44,5,1,24,63,75.760002,35
21236,44,5,2,20,62.939999,64.290001,35
21241,43,5,1,22,65.900002,76.650002,2
21241,43,5,2,21,72.099998,79.349998,2
21258,20,5,1,20,51.099998,69.75,63
21265,58,5,1,32,64.349998,71.900002,34
21265,58,5,2,26,68.919998,76.879997,34
21268,99,5,1,28,63.82,64.949997,38
21268,99,5,2,28,50.59,60.41,38
21273,34,5,1,23,56,65,33
21275,21,5,1,21,59.900002,75.379997,11
21276,23,5,1,23,58.43,72.57,59
21277,59,5,2,29,53.57,67.580002,11
21277,59,5,1,30,46.174999,58.236801,11
21279,50,5,1,26,69.419998,72.620003,34
21279,50,5,2,24,64.160004,67.639999,34
21280,17,5,1,17,69,77,7
21281,48,5,1,27,71.059998,76.5,43
21281,48,5,2,21,74.919998,76.769997,43
21282,65,5,2,27,67.629997,72.080002,31
21282,65,5,1,27,58.535358,71.92308,31
21285,24,5,1,24,56.189999,63.099998,45
21293,50,5,1,25,68.599998,74.559998,27
21293,50,5,2,25,67.444443,75.40741,27
21307,86,5,1,40,67.629997,69.629997,10
21307,86,5,2,40,68.470001,75.43,10
21310,64,5,2,26,72.730003,79.199997,44
21310,64,5,1,26,53.891579,68.526314,44
21312,70,5,1,36,64,76.239998,10
21312,70,5,2,34,53.77,76.610001,10
21313,45,5,1,23,61.720001,85.5,3
21313,45,5,2,22,67.169998,83.669998,3
21315,74,5,1,47,64.709999,77.660004,8
21315,74,5,2,27,65.495415,84.171303,8
21316,33,5,1,11,58,64.440002,24
21316,33,5,2,22,49.900002,64,24
21322,100,5,1,33,67.239998,68.75,24
21322,100,5,2,33,71.309998,69.089996,24
21322,100,5,3,34,73.790001,73.290001,24
21323,48,5,2,25,74.080002,84.709999,4
21323,48,5,1,23,65.103996,85.366318,4
21327,45,5,1,23,75.900002,78.25,1
21327,45,5,2,22,70.449997,81.550003,1
21328,80,5,2,40,59.919998,65.459999,12
21328,80,5,1,40,64.134735,68.585297,12
21330,74,5,1,37,49.369999,73.730003,6
21330,74,5,2,37,50.919998,74.620003,6
21331,57,5,1,31,65.029999,75.300003,19
21331,57,5,2,26,58.380001,64.699997,19
21338,89,5,1,38,64.849998,76.550003,5
21338,89,5,2,40,57.048683,73.449997,5
21340,60,5,1,30,64.860001,75.459999,30
21340,60,5,2,30,50.540001,64.18,30
21341,120,5,1,40,67.370003,75.910004,0
21341,120,5,2,40,64.089996,72.900002,0
21341,120,5,3,40,67.410004,80.330002,0
21350,74,5,2,30,68.830002,67.910004,32
21350,74,5,1,28,60.728077,63.687893,32
21351,43,5,1,21,71.669998,86.290001,0
21351,43,5,2,22,77.220001,89.610001,0
21356,58,5,1,29,69.25,70.849998,28
21356,58,5,2,29,60.459999,67.949997,28
21357,19,5,1,19,69.050003,77.419998,0
21359,43,5,2,21,54.049999,70.739998,10
21359,43,5,1,22,59.547726,71.247002,10
21361,105,5,1,39,53.619999,72.5,2
21361,105,5,2,33,58.099998,64.660004,2
21361,105,5,3,33,53.517933,75.581383,2
21362,62,5,1,31,61.889999,70.440002,13
21362,62,5,2,31,72.419998,74.160004,13
21363,149,5,1,38,71.449997,75.32,9
21363,149,5,2,28,55.790001,71.43,9
21363,149,5,3,35,59.599998,71.709999,9
21363,149,5,4,38,68.239998,72.949997,9
21366,133,5,1,32,74.449997,86.660004,1
21366,133,5,2,34,74.709999,81.029999,1
21366,133,5,3,33,72.089996,76,1
21366,133,5,4,34,74.120003,82.209999,1
21367,131,5,1,32,62.189999,75.959999,3
21367,131,5,2,34,67.82,76.769997,3
21367,131,5,3,33,59.59,78.769997,3
21367,131,5,4,32,67.094345,81.301903,3
21370,68,5,1,34,66.940002,73.220001,9
21370,68,5,2,34,74.559998,72.839996,9
21371,79,5,1,39,66.059998,77.089996,3
21371,79,5,2,40,79.300003,86.18,3
21373,50,5,1,25,81.599998,84.199997,1
21373,50,5,2,25,78.82,85.18,1
21374,47,5,1,24,83.290001,84.43,0
21374,47,5,2,23,84.68,83.910004,0
21375,78,5,1,39,54.509998,63.209999,11
21375,78,5,2,39,54.080002,62.939999,11
21379,70,5,1,35,68.830002,77.739998,12
21379,70,5,2,35,69.760002,69.790001,12
31001,72,5,1,30,63.040001,60.389999,31
31001,72,5,2,28,63.07,62.240002,31
31002,60,5,1,23,73.260002,79.650002,41
31002,60,5,2,29,67.330002,64.949997,41
31007,62,5,1,22,79.949997,83.150002,7
31007,62,5,2,22,69.910004,78.860001,7
31008,18,5,1,18,61.849998,62.689999,42
31012,19,5,1,19,55,74,4
31017,95,5,1,33,65.970001,71,12
31017,95,5,2,30,65.690002,76.959999,12
31017,95,5,3,32,65.629997,73.529999,12
31019,20,5,1,20,69.199997,70.449997,32
31021,74,5,1,31,45.200001,63.119999,32
31021,74,5,2,31,54.130001,69.419998,32
31022,134,5,1,40,60.970001,73.580002,7
31022,134,5,2,41,65.050003,79.440002,7
31022,134,5,3,40,60.529999,78.150002,7
31023,145,5,1,36,69.599998,78.260002,5
31023,145,5,2,37,83.300003,79.639999,5
31023,145,5,3,36,53.669998,67.470001,5
31023,145,5,4,36,66.290001,71.690002,5
31025,71,5,1,27,68.209999,73.5,17
31025,71,5,2,32,63.439999,71.330002,17
31026,48,5,1,35,57.470001,66.699997,30
31027,87,5,1,35,77.709999,80.379997,10
31027,87,5,2,37,72.93,80.769997,10
31028,61,5,1,23,55.43,69.559998,13
31028,61,5,2,25,52.380001,69.550003,13
31029,17,5,1,17,63.759998,63.240002,58
31030,45,5,1,23,63.290001,67.769997,31
31030,45,5,2,22,58.150002,71,31
31031,44,5,2,20,68.120003,72.239998,41
31031,44,5,1,24,74.264,71.686157,41
31033,26,5,1,26,46.700001,60,41
31034,14,5,1,14,78.379997,74.690002,36
31035,59,5,1,35,68.43,78.360001,26
31035,59,5,2,34,63.299999,70.889999,26
31037,158,5,1,40,79.690002,82.919998,1
31037,158,5,3,40,79.550003,86.339996,1
31037,158,5,4,40,79.510002,82.279999,1
31037,158,5,2,38,85.563889,84.548111,1
31038,112,5,1,33,69.910004,79.389999,1
31038,112,5,3,32,81.059998,82.68,1
31038,112,5,2,30,70.479309,81.130455,1
31039,153,5,1,39,77.050003,81.169998,3
31039,153,5,3,38,80.739998,84.220001,3
31039,153,5,4,38,74.18,79.550003,3
31039,153,5,2,38,80.305275,83.345627,3
31040,44,5,1,40,80.360001,83.610001,4
31045,84,5,1,35,72.489998,84.059998,8
31045,84,5,2,37,67.18,73.410004,8
31046,42,5,1,32,61.099998,71.529999,10
31047,171,5,1,35,74.940002,68.059998,3
31047,171,5,2,34,65.730003,80.300003,3
31047,171,5,3,35,67.610001,72.739998,3
31047,171,5,4,27,93.93,93.860001,3
31048,55,5,1,20,58.040001,77.449997,11
31048,55,5,2,12,71.949997,77.160004,11
31049,59,5,1,27,86.769997,85.160004,2
31049,59,5,2,32,81.817574,84.878784,2
31052,85,5,1,28,85.07,83.559998,2
31052,85,5,2,29,85.519997,87,2
31052,85,5,3,28,85.239998,86.919998,2
31055,71,5,1,37,78.029999,85.910004,3
31055,71,5,2,34,75.790001,85.260002,3
31056,90,5,1,33,67.599998,73.099998,4
31056,90,5,2,36,70.400002,81.168968,4
31060,78,5,1,29,62.25,67.779999,13
31060,78,5,2,29,57.41,70.870003,13
31062,154,5,1,34,67.940002,77.300003,5
31062,154,5,2,37,74.540001,81.690002,5
31062,154,5,3,35,69.209999,74.129997,5
31062,154,5,4,38,77.349998,80.080002,5
31063,41,5,1,21,68.610001,79.830002,6
31063,41,5,2,20,69.269997,79.470001,6
31067,71,5,1,26,60.84,76.5,17
31067,71,5,2,22,63.369999,67.629997,17
31068,48,5,1,24,64.050003,67.330002,15
31068,48,5,2,24,66.43,65.43,15
31069,69,5,1,24,62.5,81.790001,6
31069,69,5,2,26,60.279999,73.519997,6
31070,47,5,1,37,70.239998,75.040001,11
31073,26,5,1,26,62.200001,71.139999,16
31075,80,5,1,37,85.190002,88.589996,6
31075,80,5,2,34,86.809998,87.410004,6
31077,77,5,1,26,74.360001,68.089996,13
31077,77,5,2,26,71.220001,72.480003,13
31078,90,5,2,39,82.120003,77.849998,4
31078,90,5,1,37,75.678711,78.165001,4
31079,79,5,1,20,70.139999,75.620003,12
31079,79,5,2,20,73.050003,82.889999,12
31079,79,5,3,32,59.097187,74.324837,12
31083,22,5,1,22,69.940002,75.860001,38
31084,64,5,1,33,80.099998,83.839996,8
31084,64,5,2,31,72.690002,81.910004,8
31085,23,5,1,23,52.110001,69.5,28
31086,9,5,1,9,47.18,46.330002,51
31087,66,5,1,33,76.459999,84.629997,5
31087,66,5,2,33,75.496872,85.381935,5
31089,52,5,1,26,63.91,64.699997,15
31089,52,5,2,26,70.040001,70.730003,15
31090,116,5,1,29,67.040001,65.720001,17
31090,116,5,2,26,66.120003,62.27,17
31090,116,5,3,28,68.110001,68.68,17
31090,116,5,4,22,70.860001,71.290001,17
31092,16,5,1,16,58.580002,73.269997,23
31095,22,5,1,22,83.470001,84.800003,0
31097,118,5,1,40,58.18,76.669998,10
31097,118,5,2,40,59.049999,73,10
31097,118,5,3,38,59.810268,72.282288,10
31098,57,5,1,24,63.48,59.869999,16
31098,57,5,2,9,67.419998,63.57,16
31099,27,5,1,27,64.879997,72.190002,20
31100,144,5,1,34,69.150002,76.349998,10
31100,144,5,2,30,64.220001,80.330002,10
31100,144,5,3,35,54.52,69.68,10
31100,144,5,4,35,60.096333,73.999336,10
31101,40,5,1,40,57.18,60.18,50
31102,102,5,1,22,72,72.870003,14
31102,102,5,2,22,73.900002,84.099998,14
31102,102,5,3,21,77.300003,75.349998,14
31102,102,5,4,22,74.480003,77.050003,14
31103,19,5,1,19,72.32,78.910004,2
31107,63,5,1,31,64.43,78.800003,7
31107,63,5,2,32,61.41,75.900002,7
31108,21,5,1,21,77,82,28
31109,89,5,1,38,64.970001,75.190002,2
31109,89,5,2,37,69.269997,77.589996,2
31114,20,5,1,20,67,79,1
31115,17,5,1,17,62.529999,73.059998,0
31116,33,5,1,33,74.669998,86.480003,0
31120,16,5,1,16,66,74,11
31121,56,5,1,24,76.360001,77.040001,13
31121,56,5,2,20,60.130001,64.25,13
31122,52,5,2,33,80.669998,80.349998,9
31122,52,5,1,33,73.0364,77.596001,9
31125,35,5,1,35,75.970001,73,17
31129,43,5,1,21,61,80.690002,2
31129,43,5,2,22,59.939999,78.059998,2
31130,20,5,1,20,68,79.330002,2
31132,20,5,1,20,67,74,18
31133,40,5,1,40,65.790001,73.150002,19
31134,14,5,1,14,44.689999,64.379997,46
31135,100,5,1,29,66.959999,75.5,6
31135,100,5,2,29,58.16,73.080002,6
31135,100,5,3,32,57.119999,67.440002,6
31136,56,5,2,23,67.330002,70.519997,21
31136,56,5,1,23,68.61174,77.044998,21
31139,63,5,1,30,64.809998,73.650002,22
31139,63,5,2,33,60.66,73.449997,22
31141,20,5,1,20,44,53,60
31143,112,5,1,36,73.879997,78.550003,4
31143,112,5,2,34,69.480003,79.099998,4
31143,112,5,3,32,73.440002,74.480003,4
