"store_id","interview","chain","co_owned","state","southj","centralj","northj","pa1","pa2","shore","pct_aff","type","status","date","ncalls","full_time","part_time","managers","wage_st","inc_time","first_inc","special","meals","open_hr","hrs_open","p_soda","p_fry","p_entree","n_regs","n_regs11","bonus","pa","nj"
19,2,1,0,1,1,0,0,0,0,0,50,1,1,110592,0,6,44,5,5.0500002,52,0.30000001,0,2,6,16,1.04,0.93000001,0.94999999,2,2,NA,0,1
21,1,2,0,1,1,0,0,0,0,0,90,NA,NA,NA,0,5,12,3,4.4499998,6,0.1,NA,2,10.5,10.5,1.0599999,0.80000001,2.1300001,3,3,0,0,1
21,2,2,0,1,1,0,0,0,0,0,90,1,1,111492,1,0,11,2,5.0500002,NA,NA,0,2,11,10,0.94,0.94,2.4300001,3,3,NA,0,1
22,1,3,0,1,1,0,0,0,0,0,90,NA,NA,NA,2,3,15,4,4.3499999,26,0.12,NA,2,7,16,1.0599999,0.83999997,0.94999999,4,1,0,0,1
22,2,3,0,1,1,0,0,0,0,0,90,1,1,110592,0,3,15,2,5.0500002,19,0.13,0,2,7,15,1.05,1.05,0.94,4,4,NA,0,1
23,1,1,0,1,0,0,1,0,0,0,75,NA,NA,NA,2,0,25,3,4.5,26,0.12,NA,2,7,16,1.0599999,0.94999999,0.94999999,3,2,0,0,1
23,2,1,0,1,0,0,1,0,0,0,75,1,1,111792,1,14,14,3,5.0500002,NA,NA,0,1,6.5,16.5,1.05,0.94,0.94,3,2,NA,0,1
24,1,1,0,1,0,1,0,0,0,0,40,NA,NA,NA,2,15,15,4,4.75,13,0.25,NA,2,7,16,1.0599999,0.94999999,1.01,4,3,1,0,1
24,2,1,0,1,0,1,0,0,0,0,40,2,1,122192,3,15,20,4,5.0500002,52,0.15000001,0,2,NA,NA,1.05,0.94,1,4,3,NA,0,1
26,1,1,0,1,0,0,1,0,0,0,NA,NA,NA,NA,3,30,15,4,5.5599999,6,NA,NA,2,7,16,1.0599999,0.91000003,0.98000002,4,2,1,0,1
26,2,1,0,1,0,0,1,0,0,0,NA,1,1,111792,2,10,20,4,5.0500002,NA,NA,0,2,7,16,1.01,0.94,0.94,5,4,NA,0,1
27,1,2,1,1,0,1,0,0,0,0,0,NA,NA,NA,2,4,10,4,5,NA,0.37,NA,1,11,10,1.0599999,0.85000002,2.3399999,4,3,0,0,1
27,2,2,1,1,0,1,0,0,0,0,0,1,1,111292,0,0,7,4,5.0500002,26,0.25,0,1,11,10,1.05,0.83999997,2.53,4,3,NA,0,1
28,1,2,0,1,0,0,1,0,0,0,10,NA,NA,NA,6,0,14,1,4.5,NA,0.25,NA,2,11,10,1.0599999,1.17,2.5599999,2,1,0,0,1
28,2,2,0,1,0,0,1,0,0,0,10,1,1,111892,3,6,2,3,NA,NA,NA,0,1,11,10,NA,1.05,2.6400001,3,2,NA,0,1
29,1,2,0,1,0,0,1,0,0,0,NA,NA,NA,NA,3,0,7,2,4.5,4,0.25,NA,2,11,11,1.0599999,1.01,2.5599999,3,2,0,0,1
29,2,2,0,1,0,0,1,0,0,0,NA,1,1,111292,0,0,13,3,5.0500002,26,0.25,0,1,11,11,1.05,1.05,2.6400001,3,3,NA,0,1
30,1,2,0,1,0,0,1,0,0,0,0,NA,NA,NA,4,6,4,2,5,13,0.37,NA,1,11,10,1.0599999,1.0599999,2.53,2,2,0,0,1
30,2,2,0,1,0,0,1,0,0,0,0,1,1,111292,0,4,3,2,5.0500002,19,0.25,1,1,11,10,0.94,0.92000002,2.6900001,2,2,NA,0,1
31,1,2,0,1,0,1,0,0,0,0,0,NA,NA,NA,2,4,16,3,5.25,13,0.15000001,NA,2,11,11,1.03,1.0599999,2.5599999,4,3,0,0,1
31,2,2,0,1,0,1,0,0,0,0,0,1,1,111492,3,6,15,5,5.0500002,26,0.25,0,1,10.5,12.5,1,1.05,2.6400001,4,4,NA,0,1
32,1,3,0,1,0,0,1,0,0,0,40,NA,NA,NA,0,10,20.5,3,4.5,26,0.25,NA,2,10.5,11.5,1.12,1.02,1.0599999,4,3,0,0,1
32,2,3,0,1,0,0,1,0,0,0,40,1,1,111792,1,2,25,3,5.0500002,26,0.23,0,2,10.5,11.5,1.22,1.11,2.28,4,4,NA,0,1
33,1,3,0,1,0,0,1,0,0,0,7,NA,NA,NA,0,12,20,4,5,26,0.25,NA,2,6,17,1.02,1.0700001,0.94999999,5,4,0,0,1
33,2,3,0,1,0,0,1,0,0,0,7,1,1,111392,0,6,11,5,5.0500002,NA,0.2,0,2,6,17,1.11,1.0599999,1.05,4,2,NA,0,1
34,1,3,1,1,0,0,1,0,0,0,75,NA,NA,NA,0,5,15,3,4.9499998,26,NA,NA,2,10.5,11.5,1.12,1.02,1.0599999,5,3,0,0,1
34,2,3,1,1,0,0,1,0,0,0,75,1,1,111392,0,11,7,3,5.0500002,26,0.5,0,2,10.5,11.5,1.22,1.11,0.73000002,5,2,NA,0,1
35,1,4,0,1,0,0,1,0,0,0,NA,NA,NA,NA,2,25,6.5,4,4.5,9,0.25,NA,2,10.5,11.5,0.95999998,0.94999999,2.1300001,2,2,1,0,1
35,2,4,0,1,0,0,1,0,0,0,NA,1,1,111992,6,13,18,3,5.0500002,13,0.25,0,2,10.5,11.5,1.03,NA,NA,2,2,NA,0,1
36,1,4,0,1,0,1,0,0,0,0,0,NA,NA,NA,0,8,12,4,5.5,30,0.17,NA,2,10.5,13,1.02,0.91000003,2.5699999,2,2,1,0,1
36,2,4,0,1,0,1,0,0,0,0,0,1,1,111492,0,10,35,6,5.0500002,26,0.15000001,1,2,10.5,12.5,0.94999999,0.88999999,1.1900001,2,2,NA,0,1
37,1,1,0,0,0,0,0,1,0,0,33,NA,NA,NA,2,21,9,7,4.25,4,0.25,NA,2,6.5,16.5,0.98000002,0.83999997,0.83999997,5,3,0,1,0
37,2,1,0,0,0,0,0,1,0,0,33,1,1,111092,0,6,25,7,4.25,52,0.18000001,0,2,6.5,16.5,0.98000002,0.83999997,0.86000001,6,3,NA,1,0
38,1,1,0,1,0,1,0,0,0,0,100,NA,NA,NA,0,15,20,5,4.25,17,0.15000001,NA,2,6,17,1.05,0.94999999,0.98000002,3,2,0,0,1
38,2,1,0,1,0,1,0,0,0,0,100,1,1,111092,0,10,20,6,5.0500002,NA,0.25,0,3,6.5,17.5,0.98000002,0.81999999,0.75999999,3,2,NA,0,1
39,1,1,0,0,0,0,0,1,0,0,100,NA,NA,NA,0,1,32,2,4.25,8,NA,NA,2,6.5,17.5,1.03,0.73000002,0.51999998,4,2,0,1,0
39,2,1,0,0,0,0,0,1,0,0,100,1,1,111792,0,5,15,3,NA,NA,NA,0,2,6.5,16.5,1.05,NA,0.63,4,2,NA,1,0
40,1,1,0,0,0,0,0,1,0,0,100,NA,NA,NA,0,10,20,7,4.25,4,0.15000001,NA,2,6.5,16.5,0.98000002,0.81999999,0.80000001,3,3,0,1,0
40,2,1,0,0,0,0,0,1,0,0,100,1,1,111092,0,7,25,6,4.25,8,0.13,0,2,6.5,17.5,0.98000002,0.81999999,0.87,3,2,NA,1,0
41,1,1,0,0,0,0,0,1,0,0,100,NA,NA,NA,0,0,27,6,4.25,18,0.2,NA,2,6.5,16.5,0.98000002,0.81999999,0.85000002,3,3,0,1,0
41,2,1,0,0,0,0,0,1,0,0,100,1,1,111892,2,0,42,6,4.25,NA,NA,0,2,6.5,17.5,0.94,0.77999997,0.91000003,3,2,NA,1,0
42,1,1,0,0,0,0,0,1,0,0,100,NA,NA,NA,2,17,4,5,4.5,NA,NA,NA,2,6.5,16.5,0.98000002,0.82999998,0.86000001,3,3,0,1,0
42,2,1,0,0,0,0,0,1,0,0,100,1,1,111792,1,0,22,5,4.25,26,0.25,0,2,6.5,16.5,0.94,NA,NA,3,2,NA,1,0
45,1,1,0,0,0,0,0,1,0,0,25,NA,NA,NA,0,0,24,6,4.25,2,0.25,NA,2,7,16,0.98000002,0.82999998,0.86000001,3,3,0,1,0
45,2,1,0,0,0,0,0,1,0,0,25,1,1,111092,0,11,12,2,4.25,26,0.15000001,0,3,6.5,17.5,0.98000002,0.75,0.86000001,3,3,NA,1,0
46,1,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,0,30,15,3,NA,19,NA,NA,2,6.5,16.5,1.03,1.03,0.51999998,3,3,1,1,0
46,2,1,0,0,0,0,0,1,0,0,NA,1,1,111792,1,3.5,35,3,4.3000002,26,0.079999998,1,2,6.5,16.5,1.03,NA,0.94,4,4,NA,1,0
47,1,1,0,0,0,0,0,1,0,0,75,NA,NA,NA,2,25,15,NA,4.5,4,0.17,NA,2,6,17,1.05,0.86000001,0.86000001,3,3,0,1,0
47,2,1,0,0,0,0,0,1,0,0,75,1,1,111092,0,0,45,2,4.25,NA,NA,0,2,6,18,1.05,0.86000001,0.86000001,3,NA,NA,1,0
48,1,1,0,0,0,0,0,1,0,0,31,NA,NA,NA,0,6,20,3,4.25,13,0.2,NA,3,7,14,1.01,0.83999997,0.63,4,3,1,1,0
48,2,1,0,0,0,0,0,1,0,0,31,1,1,111092,0,7.5,25,5,4.3800001,13,0.25,1,3,7,14,0.98000002,0.79000002,0.87,4,3,NA,1,0
49,1,2,0,0,0,0,0,1,0,0,NA,NA,NA,NA,0,6.5,6.5,4,NA,26,NA,NA,2,10,13,1.01,0.89999998,2.3499999,4,3,0,1,0
49,2,2,0,0,0,0,0,1,0,0,NA,1,1,111292,0,0,15,4,4.4499998,13,0.050000001,0,2,10,13,1.01,0.88999999,2.3499999,4,4,NA,1,0
50,1,2,0,0,0,0,0,1,0,0,20,NA,NA,NA,0,6,10,3,4.5,13,NA,NA,2,10,12,1.01,0.88999999,3.5,4,3,0,1,0
50,2,2,0,0,0,0,0,1,0,0,20,1,1,111292,0,4,20,3,4.75,13,0.1,0,2,10,13,1.01,0.88999999,2.3499999,4,3,NA,1,0
51,1,2,0,0,0,0,0,1,0,0,100,NA,NA,NA,1,0,15,3,4.25,NA,0.15000001,NA,2,10,13,1.01,0.88999999,2.3499999,4,3,0,1,0
51,2,2,0,0,0,0,0,1,0,0,100,1,1,111792,2,6,15,3,4.25,NA,NA,0,2,10,13,1,0.88999999,2.3499999,5,3,NA,1,0
56,1,4,1,0,0,0,0,1,0,0,0,NA,NA,NA,0,20,20,4,5,26,0.1,NA,2,10,12,0.87,0.81999999,1.79,2,2,1,1,0
56,2,4,1,0,0,0,0,1,0,0,0,1,1,111492,0,0,36,2,5.25,26,0.15000001,0,2,10,12,0.92000002,0.79000002,0.87,2,2,NA,1,0
57,1,4,1,0,0,0,0,1,0,0,70,NA,NA,NA,0,30,10,3,4.6700001,26,0.07,NA,2,10,12,0.87,0.79000002,0.89999998,2,2,1,1,0
57,2,4,1,0,0,0,0,1,0,0,70,1,1,111492,1,7,18,4,4.5,26,0.13,1,2,10,12,1.01,0.77999997,0.89999998,2,2,NA,1,0
58,1,4,1,0,0,0,0,1,0,0,80,NA,NA,NA,2,8,25,3,4.75,26,0.15000001,NA,2,10,12,0.87,0.76999998,1.01,2,2,0,1,0
58,2,4,1,0,0,0,0,1,0,0,80,1,1,111492,2,0,28,4,4.5,26,0.079999998,1,2,10,12,1.04,0.83999997,0.94,2,2,NA,1,0
59,1,4,0,0,0,0,0,1,0,0,90,NA,NA,NA,3,0,15,3,4.25,26,0.1,NA,1,7.5,10.5,0.91000003,0.88999999,0.81,2,2,0,1,0
59,2,4,0,0,0,0,0,1,0,0,90,1,1,111492,1,0,16,4,4.25,26,0.1,0,1,7.5,10.5,1.01,0.83999997,0.86000001,2,2,NA,1,0
60,1,4,0,0,0,0,0,1,0,0,75,NA,NA,NA,0,10,20,5,4.25,4,0.1,NA,1,10.5,11.5,0.94,0.74000001,0.86000001,2,2,0,1,0
60,2,4,0,0,0,0,0,1,0,0,75,1,1,111792,2,10,20,5,4.25,4,0.25,0,1,10,12,0.98000002,0.83999997,0.86000001,2,2,NA,1,0
61,1,4,1,0,0,0,0,1,0,0,0,NA,NA,NA,0,6,26,5,5.5,52,0.15000001,NA,3,10,12,0.87,0.76999998,1.65,2,2,1,1,0
61,2,4,1,0,0,0,0,1,0,0,0,1,1,111492,0,28,3,6,4.75,13,0.15000001,0,2,10,12,1.01,0.83999997,0.94999999,2,2,NA,1,0
62,1,4,1,0,0,0,0,1,0,0,45,NA,NA,NA,2,0,31,5,5,26,0.07,NA,2,10,12,0.87,0.76999998,0.94999999,2,2,0,1,0
62,2,4,1,0,0,0,0,1,0,0,45,1,1,111492,0,NA,NA,NA,NA,26,NA,0,2,10,12,NA,0.83999997,1.79,3,3,NA,1,0
63,1,1,1,1,0,0,1,0,0,0,75,NA,NA,NA,1,26,6,NA,4.25,26,NA,NA,2,6,18,1.1,0.97000003,1.17,4,3,0,0,1
63,2,1,1,1,0,0,1,0,0,0,75,1,1,111792,1,15,10,4,5.0500002,26,0.1,0,2,7,18,1.11,1.01,1.09,4,3,NA,0,1
64,1,1,0,1,0,0,1,0,0,0,60,NA,NA,NA,1,20,15,3,4.5,26,0.2,NA,3,7,16,1.0599999,0.94999999,0.94999999,3,2,0,0,1
64,2,1,0,1,0,0,1,0,0,0,60,1,1,111092,0,13,13,3,5.0500002,26,0.25,0,2,7,16,1.05,0.94999999,0.94999999,3,3,NA,0,1
65,1,1,0,1,0,0,1,0,0,0,90,NA,NA,NA,5,0,20,4,4.8000002,52,0.25,NA,2,6.5,15.5,1.0599999,0.85000002,1.11,3,3,0,0,1
65,2,1,0,1,0,0,1,0,0,0,90,2,2,121592,3,NA,NA,3,5.0500002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
66,1,1,0,1,0,0,1,0,0,0,20,NA,NA,NA,0,15,18,3,4.25,26,0.15000001,NA,2,7,17,1.0599999,0.94999999,0.94999999,3,2,0,0,1
66,2,1,0,1,0,0,1,0,0,0,20,1,1,111092,0,26,10,4,5.0500002,26,0.25,1,1,7,17,1.05,0.94999999,0.94999999,3,3,NA,0,1
67,1,1,0,1,0,0,1,0,0,0,55,NA,NA,NA,0,5,15,6,4.5,13,0.25,NA,1,8,13.5,1.17,1.0599999,1.17,3,2,0,0,1
67,2,1,0,1,0,0,1,0,0,0,55,1,1,111092,0,4,17.5,5,5.0500002,NA,NA,0,1,8,13.5,1.3200001,1.05,1.22,3,3,NA,0,1
68,1,1,0,1,0,0,1,0,0,0,NA,NA,NA,NA,1,30,10,3,4.25,14,0.050000001,NA,3,7,17,1.0700001,1.02,1.02,3,3,0,0,1
68,2,1,0,1,0,0,1,0,0,0,NA,1,1,111092,0,13,17,3,5.0500002,13,0.28,0,3,7,17,1.05,0.94999999,0.94999999,3,1,NA,0,1
69,1,1,0,1,0,0,1,0,0,0,100,NA,NA,NA,0,0,27,3,4.25,13,0.22,NA,2,7,18,1.17,0.94999999,0.94999999,4,2,0,0,1
69,2,1,0,1,0,0,1,0,0,0,100,1,1,111792,0,0,27,3,5.0500002,13,0.2,0,2,7,18,1.26,1.01,1,4,2,NA,0,1
70,1,1,0,1,0,0,1,0,0,0,50,NA,NA,NA,0,35,20,5,4.5,13,0.27000001,NA,1,7,16,1.0599999,0.94999999,1.02,3,3,0,0,1
70,2,1,0,1,0,0,1,0,0,0,50,1,1,111092,0,10,30,5,5.0500002,4,0.23,NA,1,7,16,1.05,0.94999999,1.01,3,3,NA,0,1
71,1,1,0,1,0,0,1,0,0,0,100,NA,NA,NA,1,0,35,3,4.75,13,0.25,NA,3,7,17,1.0599999,0.94999999,0.94999999,3,2,0,0,1
71,2,1,0,1,0,0,1,0,0,0,100,1,1,111692,0,29,14,3,5.0500002,26,0.18000001,1,3,7,17,1.05,0.94999999,0.94999999,3,2,NA,0,1
73,1,2,0,1,0,0,1,0,0,0,40,NA,NA,NA,1,0,7,3,4.25,NA,0.75,NA,3,11,12,1.0599999,1.0599999,2.45,3,2,0,0,1
73,2,2,0,1,0,0,1,0,0,0,40,1,1,111792,2,14,0,3,5.0500002,4,0.050000001,0,2,11,11,1.05,1.05,2.4300001,3,NA,NA,0,1
75,1,2,0,1,0,0,1,0,0,0,0,NA,NA,NA,0,3,15,3,4.25,4,0.25,NA,2,11,11,1.17,1.27,2.77,3,3,0,0,1
75,2,2,0,1,0,0,1,0,0,0,0,1,1,111292,0,4,11,3,5.0500002,6,0.25,1,2,11,11,1.16,1.16,2.75,3,3,NA,0,1
76,1,3,1,1,0,0,1,0,0,0,50,NA,NA,NA,0,8,32,4,4.25,26,0.2,NA,2,6,17,1.12,1.02,1.02,6,3,0,0,1
76,2,3,1,1,0,0,1,0,0,0,50,1,1,111392,0,25,15,6,5.0500002,13,0.15000001,1,2,6.5,16.5,1.11,1.0599999,1.05,6,3,NA,0,1
77,1,3,0,1,0,0,1,0,0,0,100,NA,NA,NA,0,6,50,4,5,4,0.15000001,NA,2,6,19,1.1799999,1.0700001,1.17,6,5,0,0,1
77,2,3,0,1,0,0,1,0,0,0,100,1,1,111992,4,4,60,3,5.0500002,52,0.15000001,0,2,6,19,1.0599999,1.0599999,1.05,6,2,NA,0,1
78,1,3,1,1,0,0,1,0,0,0,0,NA,NA,NA,0,13,10,3,5,26,0.15000001,NA,2,6,17,1.12,1.02,1.02,4,2,0,0,1
78,2,3,1,1,0,0,1,0,0,0,0,1,1,111392,0,10,12,2,5.0500002,26,0.1,0,2,7,16,1.11,1.01,1.05,5,3,NA,0,1
79,1,3,1,1,0,0,1,0,0,0,30,NA,NA,NA,4,6,25,3,4.5,26,0.15000001,NA,2,6,17,1.17,1.02,1.0599999,5,4,0,0,1
79,2,3,1,1,0,0,1,0,0,0,30,1,1,111392,0,8,18,3,5.0500002,41,0.13,0,2,7,16,1.11,1.0599999,1.05,5,4,NA,0,1
80,1,4,0,1,0,0,1,0,0,0,90,NA,NA,NA,1,4.5,20,NA,4.25,26,0.25,NA,2,10.5,11.5,1.0599999,0.98000002,1.0599999,2,2,0,0,1
80,2,4,0,1,0,0,1,0,0,0,90,1,1,111492,2,11,14,3,5.0500002,13,0.1,0,2,10.5,12.5,1.12,0.98000002,0.99000001,2,1,NA,0,1
81,1,4,0,1,0,0,1,0,0,0,95,NA,NA,NA,4,25,13,3,5,26,0.1,NA,2,10,12,1.0599999,0.98000002,1.0599999,2,2,0,0,1
81,2,4,0,1,0,0,1,0,0,0,95,2,1,121592,3,0,45,4,5.0500002,NA,NA,1,2,10.5,11.5,1.11,0.98000002,2.0699999,2,1,NA,0,1
82,1,4,0,1,0,0,1,0,0,0,0,NA,NA,NA,6,8,14.5,3,5,13,0.37,NA,2,10.5,13.5,1.0599999,1.03,1.0599999,2,2,1,0,1
82,2,4,0,1,0,0,1,0,0,0,0,1,1,111492,0,25,8,4,5.0500002,13,0.18000001,1,2,10.5,13.5,1.11,0.98000002,1.05,2,2,NA,0,1
83,1,4,0,1,0,0,1,0,0,0,11,NA,NA,NA,2,12.5,20,2,5,13,0.25,NA,2,10.5,13.5,1.0599999,0.98000002,2.1300001,2,2,0,0,1
83,2,4,0,1,0,0,1,0,0,0,11,1,1,111792,2,NA,NA,4,5.0500002,26,0.5,0,2,10,14,1.11,0.88999999,0.99000001,2,2,NA,0,1
84,1,1,0,1,0,1,0,0,0,0,50,NA,NA,NA,3,4,30,5,4.5,26,0.15000001,NA,2,7,16,1.04,0.85000002,0.91000003,4,2,0,0,1
84,2,1,0,1,0,1,0,0,0,0,50,1,1,111692,0,12,30,5,5.0500002,52,0.2,0,2,7,16,1.05,0.89999998,0.94,3,3,NA,0,1
86,1,1,0,1,0,1,0,0,0,0,NA,NA,NA,NA,1,11,11,4,4.25,13,0.25,NA,3,7,15,1.0599999,0.94,1.1,3,3,0,0,1
86,2,1,0,1,0,1,0,0,0,0,NA,1,1,111092,0,9,12,4,5.0500002,4,0.13,0,3,7,15,1.05,1.05,1.04,3,3,NA,0,1
88,1,1,0,1,1,0,0,0,0,0,75,NA,NA,NA,0,3,35,3,4.25,NA,NA,NA,3,7,15,1.0599999,0.87,0.91000003,5,5,1,0,1
88,2,1,0,1,1,0,0,0,0,0,75,2,1,121892,2,4,37,4,5.0500002,42,0.18000001,0,2,7,15,1.05,0.87,0.94,5,2,NA,0,1
89,1,1,1,1,0,1,0,0,0,0,0,NA,NA,NA,2,10,6,3,5,13,0.17,NA,2,7,16,1.09,0.94999999,1.04,3,2,0,0,1
89,2,1,1,1,0,1,0,0,0,0,0,1,1,111092,0,6,25,6,5.5,4,0.63,0,2,7,16,1.11,1.01,1.05,3,3,NA,0,1
93,1,1,1,1,0,0,1,0,0,0,90,NA,NA,NA,0,2.5,30,3,4.25,52,0.15000001,NA,2,7,16,NA,NA,0.95999998,NA,NA,0,0,1
93,2,1,1,1,0,0,1,0,0,0,90,1,1,111092,0,5,25,5,5.0500002,13,0.15000001,0,2,7,16,1.11,1.05,1.05,4,3,NA,0,1
94,1,2,0,1,0,1,0,0,0,0,0,NA,NA,NA,2,0,25,5,5,26,0.25,NA,3,11,10,1.0599999,0.80000001,2.5599999,NA,NA,0,0,1
94,2,2,0,1,0,1,0,0,0,0,0,1,1,111292,0,2,20,4,5.0500002,52,0.25,0,1,11,10,1.05,0.79000002,2.53,3,NA,NA,0,1
95,1,2,0,1,0,1,0,0,0,0,40,NA,NA,NA,1,18,3,4,4.25,26,0.27000001,NA,1,11,10,1.0599999,0.80000001,2.5599999,4,3,0,0,1
95,2,2,0,1,0,1,0,0,0,0,40,1,1,111292,0,0,14,3,5.0500002,13,0.25,0,1,11,10,1.05,0.75,2.53,3,3,NA,0,1
96,1,2,0,1,0,0,1,0,0,0,80,NA,NA,NA,2,0,15,2,4.25,26,0.12,NA,2,11.5,10,1.0599999,1.01,2.6600001,3,2,0,0,1
